Понедельник, 4 августа
15.10 "Переделка старья". Сезон: 2. Серия: 11. (Великобритания, 2019)  12+
16.05 "Машины с того света". Сезон: 13. Серия: 4. (США, 2021)  16+
16.55 "Машины с того света". Сезон: 13. Серия: 3. (США, 2021)  16+
17.45 "Железная гора". Сезон: 1. Серия: 3. (Канада, 2021)  16+
18.10 "Железная гора". Сезон: 1. Серия: 4. (Канада, 2021)  16+
18.30 "Железная гора". Сезон: 1. Серия: 5. (Канада, 2021)  16+
18.55 "Железная гора". Сезон: 1. Серия: 6. (Канада, 2021)  16+
19.20 "Переделка старья". Сезон: 2. Серия: 13. (Великобритания, 2019)  12+
20.10 "Переделка старья". Сезон: 3. Серия: 1. (Великобритания, 2022)  12+
21.05 "Торги по-крупному". Сезон: 1. Серия: 1. (Канада, 2013)  16+
21.30 "Торги по-крупному". Сезон: 1. Серия: 2. (Канада, 2013)  16+
21.55 "Торги по-крупному". Сезон: 1. Серия: 3. (Канада, 2013)  16+
22.20 "Торги по-крупному". Сезон: 1. Серия: 4. (Канада, 2013)  16+
22.45 "Машины с того света". Сезон: 13. Серия: 5. (США, 2021)  16+
23.35 "Машины с того света". Сезон: 13. Серия: 6. (США, 2021)  16+
0.25 "Охотники за подземными сокровищами". Сезон: 3. Серия: 6. (Австралия, 2024)  16+
1.20 "Железная гора". Сезон: 1. Серия: 1. (Канада, 2021)  16+
1.40 "Железная гора". Сезон: 1. Серия: 2. (Канада, 2021)  16+
2.00 "Переделка старья". Сезон: 2. Серия: 9. (Великобритания, 2019)  12+
2.50 "Переделка старья". Сезон: 2. Серия: 10. (Великобритания, 2019)  12+
3.35 "Вызов бездне". (США, 2014)  16+
5.00 "Люди камня". Сезон: 1. Серия: 3. (Италия, 2020)  12+
Четверг, 7 августа
6.00 "Береговая охрана". Сезон: 1. Серия: 1. (Канада, 2023)  12+
6.20 "Переделка старья". Сезон: 2. Серия: 12. (Великобритания, 2019)  12+
7.05 "Переделка старья". Сезон: 2. Серия: 11. (Великобритания, 2019)  12+
8.00 "Свидетельства паранормального". Сезон: 6. Серия: 3. (США, 2021)  16+
8.40 "Свидетельства паранормального". Сезон: 6. Серия: 4. (США, 2021)  16+
9.25 "Охотники за подземными сокровищами". Сезон: 3. Серия: 6. (Австралия, 2024)  16+
10.20 "Железная гора". Сезон: 1. Серия: 1. (Канада, 2021)  16+
10.45 "Железная гора". Сезон: 1. Серия: 2. (Канада, 2021)  16+
11.10 "Предельные грузы". Сезон: 1. Серия: 5. (США, 2018)  16+
11.55 "Предельные грузы". Сезон: 1. Серия: 6. (США, 2018)  16+
12.40 "Торги по-крупному". Сезон: 1. Серия: 3. (Канада, 2013)  16+
13.05 "Торги по-крупному". Сезон: 1. Серия: 4. (Канада, 2013)  16+
13.30 "Торги по-крупному". Сезон: 1. Серия: 1. (Канада, 2013)  16+
13.55 "Торги по-крупному". Сезон: 1. Серия: 2. (Канада, 2013)  16+
14.20 "Переделка старья". Сезон: 3. Серия: 1. (Великобритания, 2022)  12+
15.15 "Переделка старья". Сезон: 2. Серия: 13. (Великобритания, 2019)  12+
16.05 "Машины с того света". Сезон: 13. Серия: 6. (США, 2021)  16+
17.00 "Машины с того света". Сезон: 13. Серия: 5. (США, 2021)  16+
17.45 "Железная гора". Сезон: 1. Серия: 7. (Канада, 2021)  16+
18.10 "Железная гора". Сезон: 1. Серия: 8. (Канада, 2022)  16+
18.35 "Железная гора". Сезон: 1. Серия: 9. (Канада, 2022)  16+
19.00 "Железная гора". Сезон: 1. Серия: 10. (Канада, 2022)  16+
19.20 "Переделка старья". Сезон: 3. Серия: 2. (Великобритания, 2022)  12+
20.15 "Переделка старья". Сезон: 3. Серия: 3. (Великобритания, 2022)  12+
21.10 "Торги по-крупному". Сезон: 1. Серия: 5. (Канада, 2013)  16+
21.35 "Торги по-крупному". Сезон: 1. Серия: 6. (Канада, 2013)  16+
22.00 "Торги по-крупному". Сезон: 1. Серия: 7. (Канада, 2013)  16+
22.25 "Торги по-крупному". Сезон: 1. Серия: 8. (Канада, 2013)  16+
22.50 "Машины с того света". Сезон: 13. Серия: 7. (США, 2021)  16+
23.40 "Машины с того света". Сезон: 13. Серия: 8. (США, 2021)  16+
0.30 "Железная гора". Сезон: 1. Серия: 3. (Канада, 2021)  16+
0.55 "Железная гора". Сезон: 1. Серия: 4. (Канада, 2021)  16+
1.15 "Железная гора". Сезон: 1. Серия: 5. (Канада, 2021)  16+
1.35 "Железная гора". Сезон: 1. Серия: 6. (Канада, 2021)  16+
2.00 "Переделка старья". Сезон: 2. Серия: 11. (Великобритания, 2019)  12+
2.45 "Переделка старья". Сезон: 2. Серия: 12. (Великобритания, 2019)  12+
3.30 "Пограничный контроль. Куба.". Сезон: 1. Серия: 1. (США, 2024)  16+
3.55 "Пограничный контроль. Куба.". Сезон: 1. Серия: 2. (США, 2024)  16+
4.20 "Пограничный контроль. Куба.". Сезон: 1. Серия: 3. (США, 2024)  16+
4.50 "Стоп! Пограничный контроль". Сезон: 1. Серия: 1. (Мексика, 2021)  16+
5.10 "Стоп! Пограничный контроль". Сезон: 1. Серия: 2. (Мексика, 2021)  16+
5.35 "Береговая охрана". Сезон: 1. Серия: 2. (Канада, 2023)  12+
Пятница, 8 августа
